Temperature,Velocity,Server_1_Power,Server_2_Power,Server_3_Power,Server_4_Power,Server_5_Power,Server_6_Power,Server_7_Power,Server_8_Power,Server_9_Power,Server_10_Power,Server_11_Power,Server_12_Power,images
290,2.22,50,50,75,0,50,75,50,100,75,0,0,0,dp180
290,1.75,0,50,50,0,0,0,50,0,0,100,100,0,dp181
299,2.22,75,0,100,75,75,0,100,100,75,0,50,50,dp182
295,2.22,100,50,100,100,100,50,100,75,0,0,100,0,dp183
290,1.75,50,50,0,50,0,0,0,100,0,100,0,0,dp184
290,1.75,0,50,100,100,0,0,50,50,50,100,100,100,dp185
290,1.75,0,100,75,75,50,100,75,50,100,0,75,0,dp186
299,2.65,100,75,100,0,75,0,100,100,0,75,0,100,dp187
299,1.75,0,100,0,75,75,0,0,75,100,75,100,0,dp188
295,2.22,0,100,0,100,50,75,50,100,75,100,75,75,dp189
299,1.75,75,75,100,75,75,50,0,0,50,50,100,100,dp190
290,2.65,100,50,50,75,100,100,100,0,75,100,100,100,dp191
295,1.75,0,0,50,75,50,75,0,100,50,100,50,0,dp192
290,2.65,0,0,50,75,50,75,50,50,0,100,100,75,dp193
290,2.65,100,50,50,0,0,100,75,100,100,100,100,50,dp194
299,1.75,75,50,75,0,100,50,75,0,0,100,75,50,dp195
295,2.22,100,50,0,50,50,100,50,100,0,100,100,75,dp196
299,2.65,50,0,100,0,75,50,100,50,75,75,0,100,dp197
299,1.75,0,75,50,0,0,50,0,50,100,50,100,50,dp198
295,1.75,75,75,100,100,75,100,50,50,75,0,50,100,dp199
290,2.22,0,0,50,50,0,0,75,100,75,50,75,75,dp200
290,2.65,75,75,100,100,0,50,75,0,0,0,100,75,dp201
295,2.65,75,50,75,75,0,50,75,100,75,0,100,0,dp202
290,1.75,75,100,50,50,100,100,0,100,0,75,0,100,dp203
295,1.75,100,75,100,100,50,50,75,0,50,0,100,50,dp204
295,2.22,75,75,75,50,0,100,0,0,100,100,50,50,dp205
299,2.22,50,50,50,100,0,50,50,0,50,0,0,100,dp206
295,2.65,75,100,75,75,75,50,100,75,0,50,100,75,dp207
299,2.65,0,100,100,50,100,50,75,50,0,50,0,50,dp208
290,1.75,100,75,0,50,50,50,100,100,0,0,100,0,dp209
290,2.65,75,75,100,0,50,75,100,0,100,50,75,100,dp210
290,2.22,100,100,50,100,50,50,50,75,75,100,100,75,dp211
290,2.22,0,75,50,75,50,100,0,100,50,50,50,0,dp212
299,1.75,75,100,100,75,100,0,100,50,75,0,75,0,dp213
290,2.22,50,75,100,0,75,100,75,75,75,0,100,50,dp214
295,2.22,0,0,0,50,100,100,100,75,75,75,50,75,dp215
295,2.22,50,100,75,75,0,50,100,0,0,100,0,50,dp216
295,2.22,50,75,0,75,0,50,50,50,0,50,0,75,dp217
299,1.75,0,75,0,75,50,75,50,50,75,0,0,100,dp218
290,1.75,0,100,0,0,50,100,0,100,50,50,100,50,dp219
290,2.65,75,75,50,75,0,100,0,100,50,0,50,50,dp220
290,2.22,100,100,100,0,75,100,100,0,100,0,50,100,dp221
299,2.65,100,50,50,50,100,75,75,75,100,50,100,50,dp222
295,1.75,100,100,50,75,50,0,0,50,100,0,0,100,dp223
295,1.75,100,75,100,50,50,75,0,0,100,50,0,75,dp224
290,1.75,75,50,75,75,50,100,100,75,100,100,75,100,dp225
295,1.75,75,0,50,50,100,100,100,50,0,0,50,0,dp226
295,1.75,50,0,75,75,50,0,100,0,75,75,0,0,dp227
299,1.75,100,100,0,0,0,0,50,0,100,75,50,0,dp228
